SKU,Product SKU,Product Image,Product Name,Product Description,Category ID,Price,MinimumQuantity,Weight,ProductSpecificAttribute,Volume Quantity And Price,Customize,No Of Lines,Logo,Vocabulary,AdditionalAttributes,WebCategory,ShipToday,TopSeller,Metatag,StoreID,Setup,WebCategory2
A21323,A21325,A21325.jpg,Faceted Acrylic Octagon,The cut jewel effect created by the hand polished facets makes for a perfect paperweight and/or award. Personal message is lasered to precision.,Acrylic Awards,29.95,1,0.4,"Size||3""||32099","1||29.95,6||28.45,25||26.95,51||25.45",Y,4,Y,product_categories,N,Acrylic Awards,,,A-859P,1,,
A21323,A21324,A21324.jpg,Faceted Acrylic Octagon,The cut jewel effect created by the hand polished facets makes for a perfect paperweight and/or award. Personal message is lasered to precision.,Acrylic Awards,44.95,1,0.8,"Size||4""||32098","1||44.95,6||42.7,25||40.45,51||38.2",Y,5,Y,product_categories,N,Acrylic Awards,,,A-860P,1,,
A21323,A21323,A21323.jpg,Faceted Acrylic Octagon,The cut jewel effect created by the hand polished facets makes for a perfect paperweight and/or award. Personal message is lasered to precision.,Acrylic Awards,59.95,1,1,"Size||5""||32097","1||59.95,6||56.95,25||53.95,51||50.95",Y,6,Y,product_categories,N,Acrylic Awards,,1,A-861P,1,,
A21334,A21334,A21334.jpg,3D Carved Rising Star,The 3D jewel carved acrylic rising star award says it all in a glance. Recognize your stellar performers with this piece which is laser engraved to personalize.,Acrylic Awards,70.95,1,1.13,"Size||7""||31717","1||70.95,6||67.4,25||63.85,51||60.3",Y,5,Y,product_categories,N,Acrylic Awards||Star Awards,,,A-SS57,1,,
A21345,A21346,A21346.jpg,Acrylic on Ebony Base,This contemporary crystal-clear acrylic rectangle is laser engraved and mounted on a back wood base. A classic! Additional personalization can be achieved by applying a brass plate to base.,Acrylic Awards,35.95,1,0.11,"Size||5""||31955","1||35.95,6||34.15,25||32.35,51||30.55",Y,5,Y,product_categories,N,Acrylic Awards,1,1,A-35WB,1,,
A21345,A21345,A21345.jpg,Acrylic on Ebony Base,This contemporary crystal-clear acrylic rectangle is laser engraved and mounted on a back wood base. A classic! Additional personalization can be achieved by applying a brass plate to base.,Acrylic Awards,48.95,1,1.2,"Size||6""||31954","1||48.95,6||46.5,25||44.05,51||41.6",Y,4,Y,product_categories,N,Acrylic Awards,,1,A-46WB,1,,
A21356,A21358,A21358.jpg,Acrylic Hexagon Tower,"This distinctive crystal-clear acrylic award is hand-cut, machine polished, and hand buffed to a brilliant luster. Laser engraving on the reverse side of the tower celebrates that special achievement.",Acrylic Awards,86.95,1,1.2,"Size||6""||31953","1||86.95,6||82.6,25||78.25,51||73.9",Y,4,Y,product_categories,N,Acrylic Awards,,,A-HXT6,1,,
A21356,A21357,A21356.jpg,Acrylic Hexagon Tower,"This distinctive crystal-clear acrylic award is hand-cut, machine polished, and hand buffed to a brilliant luster. Laser engraving on the reverse side of the tower celebrates that special achievement.",Acrylic Awards,95.95,1,1.6,"Size||10""||31952","1||95.95,6||91.15,25||86.35,51||81.55",Y,5,Y,product_categories,N,Acrylic Awards,,,A-HXT10,1,,
A21356,A21356,A21356.jpg,Acrylic Hexagon Tower,"This distinctive crystal-clear acrylic award is hand-cut, machine polished, and hand buffed to a brilliant luster. Laser engraving on the reverse side of the tower celebrates that special achievement.",Acrylic Awards,126.95,1,2.4,"Size||12""||31951","1||126.95,6||120.6,25||114.25,51||107.9",Y,5,Y,product_categories,N,Acrylic Awards,,,A-HXT12,1,,
A21360,A21360,A21360.jpg,Acrylic Rectangle Block,A clean-lined crystal-clear acrylic rectangle with a laser engraved custom message. A simple economical classic!,Acrylic Awards,35.95,1,0.16,"Size||6""||31959","1||35.95,6||34.15,25||32.35,51||30.55",Y,4,Y,product_categories,N,Acrylic Awards,,1,A-46,1,,
